KEY,English,Español,Português
General Info: DON'T USE normal COMMAS; if you need to put a comma; use a semicolon ; it will get converted into a normal comma in the game.,Upgrade keys follow the format UPG_(Stat); Some are for singular forms and have a 1 at the end,Strings can be formatted using {0}; {1}; etc. for when they need a variable value.,O meu português e muito pobre.
Main Menu Text---,Main Menu Text---,Texto del menú principal---,Texto do menu principal---
YES,Yes,Sí,Sim
NO,No,No,Não
PLAY,Play,Jugar,Jogar
CONFIG,Settings,Configuraciones,Configurações
ABOUT,About,Acerca de,Sobre
EXIT,Exit,Salir,Sair
RETURN_TO_MAIN_MENU,Return to main menu,Regresar al menú principal,Voltar ao menu principal
LANGUAGE,English,Español,Português
DISPLAY_SETTINGS,Display settings,Visualización,Mostrar
SOUND_SETTINGS,Volume settings,Sonido,Volume
SFX,Sound effects,Efectos de sonido,Efeitos sonoros
MUSIC,Music,Música,Música
SELECT_LANGUAGE,Change language (Requires restart):,Cambiar idioma (Requiere reiniciar):,Alterar idioma (Requer reinicialização):
DISPLAY_TYPE,Display:,Mostrar como:,Mostrar como:
FULLSCREEN,Fullscreen,Pantalla completa,Tela completa
WINDOWED_FULLSCREEN,Borderless window,Ventana sin bordes,Janela sem borda
WINDOWED,Window,Ventana,Janela
RESOLUTION,Resolution:,Resolución:,Resolução:
RESTORE_DEFAULT_CONFIG,Reset to default settings,Reiniciar todas las configuraciones,Redefinir todas as configurações
DELETE_SAVE,Delete save data,Eliminar datos de guardado,Excluir dados salvos
CONFIRM,Click again to confirm,Haz click de nuevo para confirmar,Clique novamente para confirmar
RESUME,Resume,Resumir,Retomar
CONFIRM_EXIT,Are you sure you want to exit?,¿Seguro que quieres salir?,Tem certeza que quer sair?
STARTING_ITEM,Starting item:,Ítem inicial:,Ítem inicial:
BUFFS,Buffs:,Mejoras:,Melhorias:
UNLOCKED,Already unlocked,Ya desbloqueado,Já desbloqueado
Upgrade Box---,Upgrade Box---,Caja de mejorar estrucutura---,Caixa de atualização ---
STAT_RANGE,Range,Rango,Faixa
STAT_DAMAGE,Damage,Daño,Dano
STAT_COOLDOWN,Cooldown,Enfriamiento,Tempo de recarga
STAT_SIZE,Size,Tamaño,Tamanho
STAT_PRJSPEED,Projectile Speed,Velocidad en Proyectiles,Velocidade do projétil
STAT_PRJDURATION,Projectile Duration,Duración de Proyectiles,Duração do projétil
STAT_PRJAMNT,Projectile Amount,Cantidad de Proyectiles,Quantidade de projéteis
STAT_SPEED,Movement Speed,Velocidad de Movimiento,Velocidade de movimento
STAT_VISION,Vision,Visión,Visão
STAT_STRUCTURELIMIT,Structure Limit,Límite de Estructuras,Limite de Estruturas
STAT_HEALTHREGEN,Health Regeneration,Regeneración de Vida,Regeneração da saúde
UPGRADETO,Upgrade to level: {0},Mejorar a nivel: {0},Atualize para o nível: {0}
LEVELUP,Level Up!,¡Subiste de nivel!,Subiu de nível!
CURRENTLEVEL,Level,Nivel,Nível
LEVEL,Needed:,Se necesita:,Precisa-se:
MAXLEVEL,Max level: {0}.,{0} a máximo nivel.,{0} no nível máximo.
MAXLEVELREACHED,Max level reached!,¡Se ha alcanzado el máximo nivel!,O nível máximo foi alcançado!
Characters---,Characters---,Personajes---,Personagens---
ENGINEER_NAME,Engineer,Ingeniero,Engenheiro
ENGINEER_DSC,Trusty engineer; knows his way around structures and monsters.,Ingeniero de confianza; le sabe a las estructuras y monstruos.,Engenheiro de confiança; conhece as estruturas e os monstros.
PRISONER_NAME,Jacinto,Jacinto,Jacinto
PRISONER_DSC,Condemned for life for a crime he didn’t commit.,Condenado de por vida por un crimen que no cometió.,Condenado à prisão perpétua por um crime que não cometeu.
SPACECOWBOY_NAME,Space cowboy,Vaquero del espacio,Vaqueiro Espacial
SPACECOWBOY_DSC,Swift fellow; still clinging to his past… Has a sick rocket launcher.,Un tipo ágil; aferrado a su pasado… Tiene un lanza misiles a cachete.,Companheiro ágil; ainda preso ao seu passado… Tem um lançador de foguetes incrível.
MIMA_NAME,Mima,Mima,Mima
MIMA_DSC,Is she the real Mima?,¿Es ella la Mima real?,Ela é a verdadeira Mima?
JEN_NAME,Jen,Jen,Jen
JEN_DSC,She's just a girl.,Solo es una chica.,Solo é uma menina.
Structures---,Structures---,Estructuras---,Estruturas ---
STRUCTURE,Structure,Estructura,Estrutura
STRUCTURES,Structures,Estructuras,Estruturas
GAME_WON,Victory!,¡Victoria!,Vitória!
GAME_OVER,Game over,¡Has muerto!,Fim de Jogo
CONTINUE_TO_MENU,Continue to menu,Continuar al menú,Voltar ao menu
TIME_SURVIVED,Time survived:,Tiempo sobrevivido:,Tempo sobreviveu:
ENEMIES_KILLED,Enemies killed:,Enemigos eliminados:,Inimigos eliminados:
LEVEL_REACHED,Level reached:,Nivel alcanzado:,Nível alcançado:
STRUCTURE_UPGRADES,Structure upgrades:,Estructuras mejoradas:,Estruturas melhoradas:
COINS_EARNED,Earned coins:,Monedas obtenidas:,Moedas obtidas:
ITEM,Item,Ítem,Item
ITEMS,Items,Ítems,Items
UNLOCK_MORE,Unlock more items from the main menu!,¡Desbloquea más ítems desde el menú principal!,Desbloqueie mais itens do menu principal!
GET_GUD,Better luck next time!,¡La que sigue es la buena!,Mais sorte da próxima vez!
NOTHINGITEM_NAME,Nothing.,Nada.,Nada.
NOTHINGITEM_DSC,Does nothing.,No hace nada.,Não faz nada.
COIN_NAME,Coins,Monedas,Moedas
COIN_DSC,Get 10 coins.,Obtienes 10 monedas.,Você ganha 10 moedas.
CANNON_NAME,Cannon,Cañón,Canhão
CANNON_DSC,Cannon that shoots towards its nearest enemy. Can be placed on top of another cannon to upgrade it.,Cañón que dispara hacia el enemigo más cercano. Puede colocarse sobre otro cañón para mejorarlo.,Canhão que atira em direção ao inimigo mais próximo. Pode ser colocado em cima de outro canhão para melhorá-lo.
SNIPER_NAME,Mark's Man-Tower,Torre Franco-Tirador,Torre do Marco-Atirador
SNIPER_DSC,Big damage and big range. Operated by my buddy Mark; He doesn't miss!,Gran daño y gran rango. Operada por mi compa Franco; ¡él nunca falla!,Grande dano e grande alcance. Operado pelo meu amigo Marco; Ele não erra!
ROUNDABOUT_NAME,Roundabout,Rotonda,Rotunda
ROUNDABOUT_DSC,Spins and fires!,¡Da vueltas y dispara!,Gire e atire!
BARBEDWIRE_NAME,Barbed Wire,Alambre de púas,Arame farpado
BARBEDWIRE_DSC,Damages enemies that touch it.,Hace daño a los enemigos que lo toquen.,Causa dano aos inimigos que o tocam.
ROCKETLAUNCHER_NAME,Rocket launcher,Lanza cohetes,Lançador de foguetes
ROCKETLAUNCHER_DSC,Rockets explode upon impact!,¡Lanza cohetes que explotan al impactar!,Foguetes explodem com o impacto!
PAWN_NAME,Pawn,Peón,Penhor
PAWN_DSC,Fires in a straight line. Right click to rotate.,Dispara en línea recta. Click derecho para girar.,Dispara em linha reta. Clique direito para girar.
QUEEN_NAME,Queen,Reina,Rainha
QUEEN_DSC,Fires in all directions.,Dispara en todas las direcciones.,Dispara em todas as direções.
MONKEY_NAME,Dart monkey,Monardo,Macaco dardo
MONKEY_DSC,Shoots darts really fast!,¡Lanza dardos rapidísimo!,Atira dardos muito rápido!
HDD_NAME,Hard drive,Disco duro,Disco rígido
HDD_DSC,Launches bouncy disks.,Lanza discos que rebotan.,Lança discos saltitantes.
VENDMACH_NAME,Vending Machine,Máquina dispensadora,Máquina de vendas
VENDMACH_DSC,Launches fire cans that deal damage in an area.,Lanza latas de fuego que hacen daño en área.,Lança latas de fogo que causam dano em uma área.
GUNSTICK_NAME,Comically large gun on a stick,Pistola cómicamente grande en un palo,Arma comicamente grande em uma vara
GUNSTICK_DSC,Rotates randomly after each shot!,¡Gira aleatoriamente después de cada disparo!,Gira aleatoriamente após cada tiro!
OVERCLOCKER_NAME,Overclocker,Super cargador,Super carregador
OVERCLOCKER_DSC,Runs structures to their maximum capacity! Reduces Cooldown of all structures.,Hace trabajar a las estrucutras a su máxima capacidad. Reduce el enfriamiento de todas las estructuras.,Faz com que as estruturas funcionem na sua capacidade máxima. Reduz o tempo de recarga de todas as estruturas.
HAMMER_NAME,Hammer,Martillo,Martelo
HAMMER_DSC,Allows you to place 1 more structure.,Permite colocar 1 estructura más.,Permite colocar mais 1 estrutura.
RUNNINGSHOES_NAME,Running shoes,Zapatos deportivos,Sapatos esportivos
RUNNINGSHOES_DSC,Sneakers that make you run faster.,Tenis que te hacen correr más rápido.,Tênis que fazem você correr mais rápido.
TELESCOPE_NAME,Telescope,Telescopio,Telescópio
TELESCOPE_DSC,Lets you see a little further.,Te permite ver un poco más lejos.,Permite que você veja um pouco mais longe.
LUBRICATOR_NAME,Lubricator,Lubricante,Lubrificante
LUBRICATOR_DSC,Makes projectiles go faster,Aumenta la velocidad de los proyectiles.,Aumenta a velocidade do projétil.
DUPLICATOR_NAME,Duplication chamber,Cámara de duplicación,Câmara de duplicação
DUPLICATOR_DSC,Duplicates projectiles,Duplica proyectiles.,Projéteis duplicados
FROGSTAIL_NAME,Frog's tail,Colita de rana,Rabo de sapo
FROGSTAIL_DSC,Gives health regeneration.,Da regeneración de vida.,Dá regeneração da saúde.
SCOPE_NAME,Scope,Mira,Mira
SCOPE_DSC,Gives extra range to ranged structures.,Da rango extra a estructuras.,Dá alcance extra para estruturas de longo alcance.
GUNPOWDER_NAME,Premium gunpowder,Pólvora premium,Pólvora premium
GUNPOWDER_DSC,Increases structure damage.,Aumenta el daño de las estructuras.,Aumenta o dano das estruturas.
MUSHROOM_NAME,Suspicious mushroom,Hongo sospechoso,Cogumelo suspeito
MUSHROOM_DSC,Increases projectile size.,Aumenta el tamaño de los proyectiles.,Aumenta o tamanho dos projéteis.
Upgrades----,Upgrades---,Mejoras---,Melhorias ---
UPG_RANGE,Range increased by {0}.,Rango aumentado en {0}.,Alcance aumentado em {0}.
UPG_RANGEALL,Structures gain a {0}% range increase.,Aumenta el rango de las estructuras un {0}%.,Aumenta o intervalo de estruturas em {0}%.
UPG_DAMAGE,Damage increased by {0}.,Daño aumentado en {0}.,Dano aumentado em {0}.
UPG_DAMAGEALL,Damage of all structures increased by {0}%.,Aumenta el daño de todas las estructuras un {0}%.,Aumenta o dano de todas as estruturas em {0}%.
UPG_COOLDOWN,Cooldown reduced by {0} seconds.,Enfriamiento reducido por {0} segundos.,Tempo de recarga reduzido por {0} segundos.
UPG_COOLDOWN1,Cooldown reduced by 1 second.,Enfriamiento reducido por 1 segundo.,Tempo de recarga reduzido por 1 segundo.
UPG_COOLDOWNALL,Cooldown reduced by {0}% on all structures.,Enfriamiento reducido {0}% en todas las estructuras.,Tempo de recarga reduzido em {0}% em todas as estruturas.
UPG_SIZE,Projectile size increased by {0}%.,Aumenta el tamaño de los proyectiles un {0}%.,Aumenta o tamanho do projétil em {0}%.
UPG_SIZEALL,Projectile size of all projectiles increased by {0}%.,Aumenta el tamaño de todos los proyectiles un {0}%.,Aumenta o tamanho de todos os projéteis em {0}%.
UPG_SIZEOWN,Size increased by {0}%.,Tamaño aumentado un {0}%.,Tamanho aumentado em {0}%.
UPG_SPEED,Projectile speed increased.,Aumenta la velocidad de los proyectiles.,Aumenta a velocidade do projétil.
UPG_SPEEDALL,Projectile speed increased by {0}%.,Aumenta la velocidad de los proyectiles un {0}%.,Aumenta a velocidade do projétil em {0}%.
UPG_DURATION,Projectile duration increased by {0} seconds.,Aumenta la duración de los proyectiles {0} segundos.,Aumenta a duração do projétil em {0} segundos.
UPG_DURATION1,Projectile duration increased by 1 second.,Aumenta la duración de los proyectiles 1 segundo.,Aumenta a duração do projétil em 1 segundo.
UPG_AMOUNT,Projectile amount increased by {0}.,Cantidad de proyectiles aumentada en {0}.,Número de projéteis aumentado em {0}.
UPG_PASSTH,Projectiles can pass through {0} more enemies.,Los proyectiles pueden atravesar a {0} enemigos más.,Projéteis podem passar por mais {0} inimigos.
UPG_PASSTH1,Projectiles can pass through 1 more enemy.,Los proyectiles pueden atravesar a 1 enemigo más.,Os projéteis podem passar por mais 1 inimigo.
UPG_MOVESPEED,Movement speed increased.,Aumenta la velocidad de movimiento.,Aumenta a velocidade de movimento.
UPG_VISION,Allows you to see a little further.,Te permite ver un poco más lejos.,Permite que você veja um pouco mais longe.
UPG_EXTRASTR1,Allows you to place 1 more structure.,Permite colocar 1 estructura más.,Permite colocar mais 1 estrutura.
UPG_EXTRAPRJ1,Structures fire 1 more projectile.,Las estrucutras disparan 1 proyectil más.,As estruturas disparam mais 1 projétil.
UPG_HEALTHREGEN,Health regeneration augmented to {0} per second.,Regeneración de vida aumentada a {0} por segundo.,A regeneração de saúde aumentou para {0} por segundo.
UPG_QUEEN,Pawn converts into a Queen.,El peón se convierte en Reina.,O peão se torna a Rainha.
Credits--,Credits--,Créditos,Créditos
STRUCTURED_DEFENDERS,Structured Defenders,Structured Defenders,Structured Defenders
A_GAME_BY,A game by:,Un juego de:,Um jogo de:
THANKS_FOR_PLAYING,Thanks for playing!,¡Gracias por jugar!,Obrigado por jogar!
